strategy,symbol,signalDate,intendedEntryDate,signalType,holdScore,reason,regimeReason,regimeBenchmarks
final_trend_runner_global_regime,PEP,2016-03-08,2016-03-09,Pullback,80.99569372770293,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,HD,2016-03-08,2016-03-09,Pullback,78.23572455277998,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,UL,2016-03-08,2016-03-09,Pullback,86.86347488673579,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLU,2016-03-09,2016-03-10,Pullback + Breakout,73.18376217987803,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PEP,2016-03-09,2016-03-10,Pullback + Breakout,81.01337411689357,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,JNJ,2016-03-10,2016-03-11,Pullback,80.67706294703117,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PEP,2016-03-10,2016-03-11,Pullback + Breakout,81.03154880832858,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,PG,2016-05-06,2016-05-09,Pullback,72.35285408055456,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,RY,2016-05-18,2016-05-19,Pullback,71.84980137647594,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,MDY,2016-05-20,2016-05-23,Pullback,80.85756567196856,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,ASML,2016-05-23,2016-05-24,Pullback,95.62358276643991,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,UNP,2016-06-17,2016-06-20,Pullback,98.91156462585035,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,COST,2016-06-28,2016-06-29,Pullback,100,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,LOW,2016-06-28,2016-06-29,Pullback,70.18943901753015,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,SPY,2016-06-29,2016-06-30,Pullback,72.29526094554598,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
final_trend_runner_global_regime,XLV,2016-06-29,2016-06-30,Pullback,89.76929668224275,bear_regime_requires_hold90_pullback_breakout,QQQ:daily_below_ema200,SPY:ok;QQQ:bear
