date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2017-02-01;TLT;buy;2,158829;7,6264;1019,46;1033,15;13,69;121,73999786;13,69;0,11247297;13547,12
2017-03-01;AAPL;sell;12,618454;44,6224;6692,85;6338,63;-354,22;38,18999863;354,22;9,27523226;14205,02
2017-03-01;VOO;buy;7,748771;27,4019;3704,57;3892,44;187,87;216,35000610;187,87;0,86834027;14205,02
2017-03-01;GLD;buy;5,761398;20,3739;2783,19;2894,12;110,93;118,72000122;110,93;0,93439721;14205,02
2017-03-01;TLT;buy;2,149653;7,6018;1024,41;1079,83;55,42;120,70999908;55,42;0,45915042;14205,02
2017-04-01;GLD;sell;5,687763;20,1823;2944,10;2888,12;-55,98;120,76999664;55,98;0,46350698;14310,15
2017-04-01;AAPL;buy;12,618454;44,7750;6338,63;6407,37;68,74;38,18999863;55,98;1,46576954;14310,15
2017-05-01;VOO;sell;7,722905;27,4890;3988,15;3952,95;-35,20;221,66999817;35,20;0,15879369;14380,13
2017-05-01;GLD;sell;5,615282;19,9871;2884,53;2874,17;-10,36;120,62000275;10,36;0,08589690;14380,13
2017-05-01;TLT;sell;2,137897;7,6097;1112,84;1094,28;-18,57;124,40000153;18,57;0,14924293;14380,13
2017-05-01;AAPL;buy;12,618454;44,9143;6394,60;6458,73;64,13;38,18999863;64,13;1,67914385;14380,13
2017-06-01;AAPL;sell;12,695116;45,2176;6933,96;6695,23;-238,73;41,00000000;238,73;5,82263904;14806,70
2017-06-01;VOO;buy;7,707423;27,4524;3959,91;4064,79;104,88;222,05999756;104,88;0,47231791;14806,70
2017-06-01;GLD;buy;5,539159;19,7294;2812,22;2921,28;109,06;118,01999664;109,06;0,92408503;14806,70
2017-06-01;TLT;buy;2,133913;7,6006;1100,61;1125,40;24,78;125,12000275;24,78;0,19808802;14806,70
2017-07-01;VOO;sell;7,702149;27,5122;4148,63;4112,64;-35,99;226,63999939;35,99;0,15879666;14948,39
2017-07-01;GLD;sell;5,469771;19,5381;2988,85;2920,64;-68,21;120,75000000;68,21;0,56491642;14948,39
2017-07-01;AAPL;buy;12,695116;45,3472;6695,23;6778,68;83,45;41,00000000;83,45;2,03534274;14948,39
2017-07-01;TLT;buy;2,128319;7,6024;1115,68;1136,44;20,75;124,04000092;20,75;0,16731926;14948,39
2017-08-01;GLD;sell;5,410780;19,3756;3043,27;2929,44;-113,83;125,81999969;113,83;0,90471099;15119,19
2017-08-01;TLT;sell;2,127337;7,6178;1172,63;1151,76;-20,87;127,98999786;20,87;0,16305764;15119,19
2017-08-01;AAPL;buy;12,695116;45,4603;6778,68;6873,23;94,55;41,00000000;94,55;2,30613529;15119,19
2017-08-01;VOO;buy;7,692472;27,5462;4124,61;4164,76;40,15;227,30000305;40,15;0,17663413;15119,19
2017-09-01;AAPL;sell;12,768735;45,7269;7202,23;7034,53;-167,70;42,96250153;167,70;3,90339856;15383,80
2017-09-01;GLD;buy;5,345137;19,1418;2830,72;2944,73;114,01;121,58000183;114,01;0,93776523;15383,80
2017-09-01;TLT;buy;2,122098;7,5996;1122,69;1169,10;46,41;124,76000214;46,41;0,37200760;15383,80
2017-10-01;VOO;sell;7,694137;27,6189;4326,55;4269,14;-57,41;236,13000488;57,41;0,24312733;15457,34
2017-10-01;AAPL;buy;12,768735;45,8347;7034,53;7084,82;50,29;42,96250153;50,29;1,17059490;15457,34
2017-11-01;VOO;sell;7,714920;27,7418;4399,68;4328,97;-70,71;243,35000610;70,71;0,29058275;15604,47
2017-11-01;AAPL;buy;12,768735;45,9147;7084,82;7164,74;79,92;42,96250153;79,92;1,86028925;15604,47
2017-12-01;AAPL;sell;12,838330;46,1211;7426,15;7369,44;-56,71;44,52999878;56,71;1,27355845;15978,46
2017-12-01;GLD;sell;5,156452;18,5243;2994,87;2959,90;-34,97;123,65000153;34,97;0,28281899;15978,46
2017-12-01;VOO;buy;7,733666;27,7828;4363,48;4439,27;75,79;245,28999329;75,79;0,30898239;15978,46
2017-12-01;TLT;buy;2,107695;7,5718;1188,78;1209,86;21,08;126,86000061;21,08;0,16612833;15978,46
2018-01-01;VOO;sell;7,782068;27,9678;4687,21;4553,93;-133,28;258,98999023;133,28;0,51460317;16282,76
2018-01-01;GLD;sell;5,105472;18,3484;3055,65;2987,63;-68,02;127,65000153;68,02;0,53282458;16282,76
2018-01-01;AAPL;buy;12,838330;46,1394;7369,44;7512,77;143,33;44,52999878;143,33;3,21877056;16282,76
2018-01-01;TLT;buy;2,099222;7,5443;1170,47;1228,43;57,96;122,73000336;57,96;0,47225844;16282,76
2018-02-01;AAPL;sell;12,838330;46,2296;7512,77;7401,92;-110,84;44,52999878;110,84;2,48920736;16011,22
2018-02-01;GLD;sell;5,050843;18,1876;2925,61;2912,06;-13,55;125,00000000;13,55;0,10842809;16011,22
2018-02-01;VOO;buy;7,795738;28,0717;4384,25;4494,62;110,37;249,33999634;110,37;0,44265565;16011,22
2018-02-01;TLT;buy;2,085891;7,5111;1188,59;1202,62;14,03;118,75000000;14,03;0,11811497;16011,22
